# Game Session ID 
146 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:10:7 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.240000 19.598633 7.437964 	 -7.119998 19.598633 6.221173 	 -0.150000 19.598633 9.309951 	                    	                    	                    	                    	                    	
 -9.250000 19.504074 7.462664 	 -7.149998 19.504074 6.234811 	 -0.150000 19.504074 9.351668 	                    	                    	                    	                    	                    	
 -9.260000 19.409515 7.487164 	 -7.179998 19.409515 6.248249 	 -0.150000 19.409515 9.393187 	                    	                    	                    	                    	                    	
 -9.270000 19.314959 7.511464 	 -7.209998 19.314959 6.261487 	 -0.150000 19.314959 9.434505 	                    	                    	                    	                    	                    	
 -9.280000 19.220400 7.535563 	 -7.239998 19.220400 6.274525 	 -0.150000 19.220400 9.475622 	                    	                    	                    	                    	                    	
 -9.290000 19.125843 7.559463 	 -7.269998 19.125843 6.287363 	 -0.150000 19.125843 9.516540 	                    	                    	                    	                    	                    	
 -9.300000 19.031284 7.583163 	 -7.299998 19.031284 6.300001 	 -0.150000 19.031284 9.557258 	                    	                    	                    	                    	                    	
 -9.309999 18.936726 7.606662 	 -7.329998 18.936726 6.312438 	 -0.150000 18.936726 9.597775 	                    	                    	                    	                    	                    	
 -9.320000 18.842169 7.629962 	 -7.359998 18.842169 6.324677 	 -0.150000 18.842169 9.638093 	                    	                    	                    	                    	                    	
 -9.330000 18.747612 7.653062 	 -7.389998 18.747612 6.336715 	 -0.150000 18.747612 9.678211 	                    	                    	                    	                    	                    	
 -9.340000 18.653053 7.675961 	 -7.419998 18.653053 6.348553 	 -0.150000 18.653053 9.718128 	                    	                    	                    	                    	                    	
 -9.349999 18.558495 7.698661 	 -7.449998 18.558495 6.360190 	 -0.150000 18.558495 9.757846 	                    	                    	                    	                    	                    	
 -9.360000 18.463938 7.721161 	 -7.479998 18.463938 6.371628 	 -0.150000 18.463938 9.797364 	                    	                    	                    	                    	                    	
 -9.370000 18.369379 7.743461 	 -7.509998 18.369379 6.382866 	 -0.150000 18.369379 9.836681 	                    	                    	                    	                    	                    	
