# Game Session ID 
169 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:58:19 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -10.680000 18.442924 7.437964 	 -4.590000 18.442924 6.221173 	 -3.769998 18.442924 9.309951 	                    	                    	                    	                    	                    	                    	                    	
 -10.700001 18.337860 7.462664 	 -4.600000 18.337860 6.234811 	 -3.799998 18.337860 9.351668 	                    	                    	                    	                    	                    	                    	                    	
 -10.720000 18.232796 7.487164 	 -4.610000 18.232796 6.248249 	 -3.829998 18.232796 9.393187 	                    	                    	                    	                    	                    	                    	                    	
 -10.740001 18.127731 7.511464 	 -4.620000 18.127731 6.261487 	 -3.859998 18.127731 9.434505 	                    	                    	                    	                    	                    	                    	                    	
 -10.760000 18.022667 7.535563 	 -4.630000 18.022667 6.274525 	 -3.889998 18.022667 9.475622 	                    	                    	                    	                    	                    	                    	                    	
 -10.780001 17.917603 7.559463 	 -4.640000 17.917603 6.287363 	 -3.919998 17.917603 9.516540 	                    	                    	                    	                    	                    	                    	                    	
 -10.800000 17.812538 7.583163 	 -4.650000 17.812538 6.300001 	 -3.949998 17.812538 9.557258 	                    	                    	                    	                    	                    	                    	                    	
 -10.820001 17.707474 7.606662 	 -4.660000 17.707474 6.312438 	 -3.979998 17.707474 9.597775 	                    	                    	                    	                    	                    	                    	                    	
 -10.840000 17.602409 7.629962 	 -4.670000 17.602409 6.324677 	 -4.009998 17.602409 9.638093 	                    	                    	                    	                    	                    	                    	                    	
 -10.860001 17.497345 7.653062 	 -4.680000 17.497345 6.336715 	 -4.039998 17.497345 9.678211 	                    	                    	                    	                    	                    	                    	                    	
 -10.880000 17.392281 7.675961 	 -4.690000 17.392281 6.348553 	 -4.069998 17.392281 9.718128 	                    	                    	                    	                    	                    	                    	                    	
 -10.900001 17.287216 7.698661 	 -4.700000 17.287216 6.360190 	 -4.099998 17.287216 9.757846 	                    	                    	                    	                    	                    	                    	                    	
 -10.920000 17.182152 7.721161 	 -4.710000 17.182152 6.371628 	 -4.129998 17.182152 9.797364 	                    	                    	                    	                    	                    	                    	                    	
 -10.940001 17.077087 7.743461 	 -4.720000 17.077087 6.382866 	 -4.159997 17.077087 9.836681 	                    	                    	                    	                    	                    	                    	                    	
 -10.960000 16.972023 7.765560 	 -4.730000 16.972023 6.393904 	 -4.189998 16.972023 9.875799 	                    	                    	                    	                    	                    	                    	                    	
 -10.980000 16.866959 7.787460 	 -4.740000 16.866959 6.404742 	 -4.219997 16.866959 9.914717 	                    	                    	                    	                    	                    	                    	                    	
 -11.000000 16.761894 7.809160 	 -4.750000 16.761894 6.415380 	 -4.249998 16.761894 9.953435 	                    	                    	                    	                    	                    	                    	                    	
